timestamp,route,stop_index,time_of_day,traffic_factor,count
2026-01-01T06:00:00,04L,0,6.0,0.89,4
2026-01-01T06:15:00,08A,1,6.25,1.09,8
2026-01-01T06:30:00,12B,2,6.5,0.72,7
2026-01-01T06:45:00,17C,3,6.75,0.93,13
2026-01-01T07:00:00,04L,4,7.0,1.1,11
2026-01-01T07:15:00,08A,5,7.25,1.56,10
2026-01-01T07:30:00,12B,6,7.5,0.63,6
2026-01-01T07:45:00,17C,7,7.75,1.43,13
2026-01-01T08:00:00,04L,8,8.0,1.27,13
2026-01-01T08:15:00,08A,9,8.25,1.31,15
2026-01-01T08:30:00,12B,10,8.5,0.92,7
2026-01-01T08:45:00,17C,11,8.75,1.4,9
2026-01-01T09:00:00,04L,0,9.0,1.41,8
2026-01-01T09:15:00,08A,1,9.25,0.76,6
2026-01-01T09:30:00,12B,2,9.5,0.89,8
2026-01-01T09:45:00,17C,3,9.75,0.9,7
2026-01-01T10:00:00,04L,4,10.0,0.9,9
2026-01-01T10:15:00,08A,5,10.25,1.15,5
2026-01-01T10:30:00,12B,6,10.5,0.78,4
2026-01-01T10:45:00,17C,7,10.75,0.66,9
2026-01-01T11:00:00,04L,8,11.0,0.95,13
2026-01-01T11:15:00,08A,9,11.25,0.76,8
2026-01-01T11:30:00,12B,10,11.5,0.64,7
2026-01-01T11:45:00,17C,11,11.75,1.35,13
2026-01-01T12:00:00,04L,0,12.0,1.52,12
2026-01-01T12:15:00,08A,1,12.25,0.95,11
2026-01-01T12:30:00,12B,2,12.5,0.62,9
2026-01-01T12:45:00,17C,3,12.75,0.85,6
2026-01-01T13:00:00,04L,4,13.0,1.35,15
2026-01-01T13:15:00,08A,5,13.25,0.91,4
2026-01-01T13:30:00,12B,6,13.5,1.57,13
2026-01-01T13:45:00,17C,7,13.75,0.61,6
2026-01-01T14:00:00,04L,8,14.0,1.1,10
2026-01-01T14:15:00,08A,9,14.25,1.24,14
2026-01-01T14:30:00,12B,10,14.5,1.4,11
2026-01-01T14:45:00,17C,11,14.75,0.91,5
2026-01-01T15:00:00,04L,0,15.0,0.96,7
2026-01-01T15:15:00,08A,1,15.25,1.48,13
2026-01-01T15:30:00,12B,2,15.5,1.22,8
2026-01-01T15:45:00,17C,3,15.75,1.08,11
2026-01-01T16:00:00,04L,4,16.0,1.4,15
2026-01-01T16:15:00,08A,5,16.25,1.6,9
2026-01-01T16:30:00,12B,6,16.5,0.86,5
2026-01-01T16:45:00,17C,7,16.75,1.17,8
2026-01-01T17:00:00,04L,8,17.0,1.05,13
2026-01-01T17:15:00,08A,9,17.25,1.19,14
2026-01-01T17:30:00,12B,10,17.5,1.12,4
2026-01-01T17:45:00,17C,11,17.75,1.59,10
2026-01-01T18:00:00,04L,0,18.0,1.02,10
2026-01-01T18:15:00,08A,1,18.25,0.96,11
2026-01-01T18:30:00,12B,2,18.5,0.95,7
2026-01-01T18:45:00,17C,3,18.75,0.63,5
2026-01-01T19:00:00,04L,4,19.0,1.58,19
2026-01-01T19:15:00,08A,5,19.25,0.99,8
2026-01-01T19:30:00,12B,6,19.5,1.45,11
2026-01-01T19:45:00,17C,7,19.75,0.91,7
2026-01-01T20:00:00,04L,8,20.0,0.78,7
2026-01-01T20:15:00,08A,9,20.25,1.4,13
2026-01-01T20:30:00,12B,10,20.5,1.33,6
2026-01-01T20:45:00,17C,11,20.75,1.07,7
2026-01-01T21:00:00,04L,0,21.0,1.55,11
2026-01-01T21:15:00,08A,1,21.25,1.54,12
2026-01-01T21:30:00,12B,2,21.5,0.98,7
2026-01-01T21:45:00,17C,3,21.75,1.47,13
2026-01-01T22:00:00,04L,4,22.0,1.27,16
2026-01-01T22:15:00,08A,5,22.25,1.5,11
2026-01-01T22:30:00,12B,6,22.5,0.64,5
2026-01-01T22:45:00,17C,7,22.75,0.83,5
2026-01-01T23:00:00,04L,8,23.0,1.45,15
2026-01-01T23:15:00,08A,9,23.25,1.09,9
2026-01-01T23:30:00,12B,10,23.5,1.11,5
2026-01-01T23:45:00,17C,11,23.75,1.41,10
2026-01-02T00:00:00,04L,0,0.0,1.07,6
2026-01-02T00:15:00,08A,1,0.25,1.39,11
2026-01-02T00:30:00,12B,2,0.5,0.64,8
2026-01-02T00:45:00,17C,3,0.75,1.44,12
2026-01-02T01:00:00,04L,4,1.0,1.59,14
2026-01-02T01:15:00,08A,5,1.25,0.92,10
2026-01-02T01:30:00,12B,6,1.5,0.91,8
2026-01-02T01:45:00,17C,7,1.75,1.54,13
2026-01-02T02:00:00,04L,8,2.0,1.27,12
2026-01-02T02:15:00,08A,9,2.25,1.34,17
2026-01-02T02:30:00,12B,10,2.5,1.51,9
2026-01-02T02:45:00,17C,11,2.75,0.99,11
2026-01-02T03:00:00,04L,0,3.0,1.21,10
2026-01-02T03:15:00,08A,1,3.25,1.5,14
2026-01-02T03:30:00,12B,2,3.5,0.75,4
2026-01-02T03:45:00,17C,3,3.75,0.62,10
2026-01-02T04:00:00,04L,4,4.0,1.07,9
2026-01-02T04:15:00,08A,5,4.25,1.19,9
2026-01-02T04:30:00,12B,6,4.5,1.28,6
2026-01-02T04:45:00,17C,7,4.75,1.25,12
2026-01-02T05:00:00,04L,8,5.0,1.39,13
2026-01-02T05:15:00,08A,9,5.25,1.12,15
2026-01-02T05:30:00,12B,10,5.5,1.13,10
2026-01-02T05:45:00,17C,11,5.75,1.53,8
2026-01-02T06:00:00,04L,0,6.0,0.61,3
2026-01-02T06:15:00,08A,1,6.25,0.9,6
2026-01-02T06:30:00,12B,2,6.5,0.83,11
2026-01-02T06:45:00,17C,3,6.75,1.38,10
2026-01-02T07:00:00,04L,4,7.0,1.0,8
2026-01-02T07:15:00,08A,5,7.25,1.02,8
2026-01-02T07:30:00,12B,6,7.5,0.9,10
2026-01-02T07:45:00,17C,7,7.75,1.49,14
2026-01-02T08:00:00,04L,8,8.0,0.9,7
2026-01-02T08:15:00,08A,9,8.25,0.83,9
2026-01-02T08:30:00,12B,10,8.5,1.27,5
2026-01-02T08:45:00,17C,11,8.75,1.4,8
2026-01-02T09:00:00,04L,0,9.0,0.98,5
2026-01-02T09:15:00,08A,1,9.25,1.37,10
2026-01-02T09:30:00,12B,2,9.5,1.51,13
2026-01-02T09:45:00,17C,3,9.75,1.25,10
2026-01-02T10:00:00,04L,4,10.0,1.49,14
2026-01-02T10:15:00,08A,5,10.25,1.39,9
2026-01-02T10:30:00,12B,6,10.5,1.44,8
2026-01-02T10:45:00,17C,7,10.75,1.49,11
2026-01-02T11:00:00,04L,8,11.0,0.91,8
2026-01-02T11:15:00,08A,9,11.25,1.08,11
2026-01-02T11:30:00,12B,10,11.5,1.47,6
2026-01-02T11:45:00,17C,11,11.75,0.63,9
2026-01-02T12:00:00,04L,0,12.0,1.04,10
2026-01-02T12:15:00,08A,1,12.25,1.55,12
2026-01-02T12:30:00,12B,2,12.5,0.62,10
2026-01-02T12:45:00,17C,3,12.75,0.93,12
2026-01-02T13:00:00,04L,4,13.0,0.69,6
2026-01-02T13:15:00,08A,5,13.25,0.62,8
2026-01-02T13:30:00,12B,6,13.5,0.95,7
2026-01-02T13:45:00,17C,7,13.75,0.87,8
2026-01-02T14:00:00,04L,8,14.0,1.21,8
2026-01-02T14:15:00,08A,9,14.25,1.03,12
2026-01-02T14:30:00,12B,10,14.5,1.18,9
2026-01-02T14:45:00,17C,11,14.75,1.49,7
2026-01-02T15:00:00,04L,0,15.0,0.61,4
2026-01-02T15:15:00,08A,1,15.25,1.13,10
2026-01-02T15:30:00,12B,2,15.5,1.59,13
2026-01-02T15:45:00,17C,3,15.75,1.29,9
2026-01-02T16:00:00,04L,4,16.0,0.71,8
2026-01-02T16:15:00,08A,5,16.25,0.95,7
2026-01-02T16:30:00,12B,6,16.5,1.34,8
2026-01-02T16:45:00,17C,7,16.75,1.2,10
2026-01-02T17:00:00,04L,8,17.0,1.46,15
2026-01-02T17:15:00,08A,9,17.25,1.39,14
2026-01-02T17:30:00,12B,10,17.5,0.89,7
2026-01-02T17:45:00,17C,11,17.75,0.65,9
2026-01-02T18:00:00,04L,0,18.0,1.43,11
2026-01-02T18:15:00,08A,1,18.25,0.67,3
2026-01-02T18:30:00,12B,2,18.5,1.14,8
2026-01-02T18:45:00,17C,3,18.75,0.68,8
2026-01-02T19:00:00,04L,4,19.0,1.15,14
2026-01-02T19:15:00,08A,5,19.25,0.71,6
2026-01-02T19:30:00,12B,6,19.5,0.8,5
2026-01-02T19:45:00,17C,7,19.75,1.07,9
2026-01-02T20:00:00,04L,8,20.0,1.55,16
2026-01-02T20:15:00,08A,9,20.25,1.45,13
2026-01-02T20:30:00,12B,10,20.5,1.14,6
2026-01-02T20:45:00,17C,11,20.75,1.08,9
2026-01-02T21:00:00,04L,0,21.0,1.05,5
2026-01-02T21:15:00,08A,1,21.25,1.12,11
2026-01-02T21:30:00,12B,2,21.5,1.09,8
2026-01-02T21:45:00,17C,3,21.75,0.71,10
2026-01-02T22:00:00,04L,4,22.0,0.75,6
2026-01-02T22:15:00,08A,5,22.25,0.87,6
2026-01-02T22:30:00,12B,6,22.5,1.34,8
2026-01-02T22:45:00,17C,7,22.75,1.19,8
2026-01-02T23:00:00,04L,8,23.0,1.29,14
2026-01-02T23:15:00,08A,9,23.25,1.34,17
2026-01-02T23:30:00,12B,10,23.5,0.86,8
2026-01-02T23:45:00,17C,11,23.75,0.93,11
2026-01-03T00:00:00,04L,0,0.0,1.12,7
2026-01-03T00:15:00,08A,1,0.25,0.96,7
2026-01-03T00:30:00,12B,2,0.5,1.02,7
2026-01-03T00:45:00,17C,3,0.75,0.93,10
2026-01-03T01:00:00,04L,4,1.0,1.01,14
2026-01-03T01:15:00,08A,5,1.25,0.98,6
2026-01-03T01:30:00,12B,6,1.5,0.68,4
2026-01-03T01:45:00,17C,7,1.75,1.05,12
2026-01-03T02:00:00,04L,8,2.0,1.04,11
2026-01-03T02:15:00,08A,9,2.25,1.01,12
2026-01-03T02:30:00,12B,10,2.5,0.66,6
2026-01-03T02:45:00,17C,11,2.75,1.18,11
2026-01-03T03:00:00,04L,0,3.0,1.32,7
2026-01-03T03:15:00,08A,1,3.25,1.54,12
2026-01-03T03:30:00,12B,2,3.5,1.54,15
2026-01-03T03:45:00,17C,3,3.75,1.51,12
2026-01-03T04:00:00,04L,4,4.0,1.19,12
2026-01-03T04:15:00,08A,5,4.25,1.52,9
2026-01-03T04:30:00,12B,6,4.5,1.32,13
2026-01-03T04:45:00,17C,7,4.75,1.53,9
2026-01-03T05:00:00,04L,8,5.0,1.58,14
2026-01-03T05:15:00,08A,9,5.25,0.98,14
2026-01-03T05:30:00,12B,10,5.5,0.93,10
2026-01-03T05:45:00,17C,11,5.75,0.75,8
2026-01-03T06:00:00,04L,0,6.0,1.29,5
2026-01-03T06:15:00,08A,1,6.25,0.96,9
2026-01-03T06:30:00,12B,2,6.5,1.34,12
2026-01-03T06:45:00,17C,3,6.75,1.58,15
2026-01-03T07:00:00,04L,4,7.0,0.64,9
2026-01-03T07:15:00,08A,5,7.25,1.56,12
2026-01-03T07:30:00,12B,6,7.5,1.3,12
2026-01-03T07:45:00,17C,7,7.75,1.03,11
2026-01-03T08:00:00,04L,8,8.0,1.35,13
2026-01-03T08:15:00,08A,9,8.25,1.51,12
2026-01-03T08:30:00,12B,10,8.5,0.98,6
2026-01-03T08:45:00,17C,11,8.75,1.22,10
2026-01-03T09:00:00,04L,0,9.0,1.35,8
2026-01-03T09:15:00,08A,1,9.25,1.37,13
2026-01-03T09:30:00,12B,2,9.5,0.9,5
2026-01-03T09:45:00,17C,3,9.75,1.53,11
2026-01-03T10:00:00,04L,4,10.0,1.33,13
2026-01-03T10:15:00,08A,5,10.25,1.08,7
2026-01-03T10:30:00,12B,6,10.5,1.11,12
2026-01-03T10:45:00,17C,7,10.75,1.38,11
2026-01-03T11:00:00,04L,8,11.0,1.55,12
2026-01-03T11:15:00,08A,9,11.25,0.73,12
2026-01-03T11:30:00,12B,10,11.5,1.01,7
2026-01-03T11:45:00,17C,11,11.75,1.0,7
2026-01-03T12:00:00,04L,0,12.0,1.02,6
2026-01-03T12:15:00,08A,1,12.25,0.9,10
2026-01-03T12:30:00,12B,2,12.5,1.17,8
2026-01-03T12:45:00,17C,3,12.75,0.86,6
2026-01-03T13:00:00,04L,4,13.0,0.86,9
2026-01-03T13:15:00,08A,5,13.25,1.56,6
2026-01-03T13:30:00,12B,6,13.5,0.87,9
2026-01-03T13:45:00,17C,7,13.75,1.56,14
2026-01-03T14:00:00,04L,8,14.0,1.47,10
2026-01-03T14:15:00,08A,9,14.25,1.56,17
2026-01-03T14:30:00,12B,10,14.5,1.48,6
2026-01-03T14:45:00,17C,11,14.75,1.27,8
2026-01-03T15:00:00,04L,0,15.0,1.14,10
2026-01-03T15:15:00,08A,1,15.25,0.65,6
2026-01-03T15:30:00,12B,2,15.5,1.4,10
2026-01-03T15:45:00,17C,3,15.75,1.53,11
2026-01-03T16:00:00,04L,4,16.0,1.57,14
2026-01-03T16:15:00,08A,5,16.25,1.53,9
2026-01-03T16:30:00,12B,6,16.5,1.42,11
2026-01-03T16:45:00,17C,7,16.75,0.68,8
2026-01-03T17:00:00,04L,8,17.0,1.29,13
2026-01-03T17:15:00,08A,9,17.25,1.25,15
2026-01-03T17:30:00,12B,10,17.5,1.51,6
2026-01-03T17:45:00,17C,11,17.75,0.88,8
2026-01-03T18:00:00,04L,0,18.0,1.42,10
2026-01-03T18:15:00,08A,1,18.25,1.59,9
2026-01-03T18:30:00,12B,2,18.5,1.19,11
2026-01-03T18:45:00,17C,3,18.75,1.34,13
2026-01-03T19:00:00,04L,4,19.0,1.15,11
2026-01-03T19:15:00,08A,5,19.25,0.64,6
2026-01-03T19:30:00,12B,6,19.5,0.76,9
2026-01-03T19:45:00,17C,7,19.75,1.5,11
2026-01-03T20:00:00,04L,8,20.0,1.14,13
2026-01-03T20:15:00,08A,9,20.25,1.04,8
2026-01-03T20:30:00,12B,10,20.5,1.47,10
2026-01-03T20:45:00,17C,11,20.75,0.62,3
2026-01-03T21:00:00,04L,0,21.0,0.8,7
2026-01-03T21:15:00,08A,1,21.25,0.72,6
2026-01-03T21:30:00,12B,2,21.5,1.1,8
2026-01-03T21:45:00,17C,3,21.75,0.92,9
2026-01-03T22:00:00,04L,4,22.0,0.7,7
2026-01-03T22:15:00,08A,5,22.25,0.97,5
2026-01-03T22:30:00,12B,6,22.5,1.01,6
2026-01-03T22:45:00,17C,7,22.75,1.53,9
2026-01-03T23:00:00,04L,8,23.0,1.43,14
2026-01-03T23:15:00,08A,9,23.25,0.75,6
2026-01-03T23:30:00,12B,10,23.5,1.29,6
2026-01-03T23:45:00,17C,11,23.75,1.25,11
2026-01-04T00:00:00,04L,0,0.0,1.08,10
2026-01-04T00:15:00,08A,1,0.25,0.78,5
2026-01-04T00:30:00,12B,2,0.5,0.75,4
2026-01-04T00:45:00,17C,3,0.75,1.43,15
2026-01-04T01:00:00,04L,4,1.0,1.15,11
2026-01-04T01:15:00,08A,5,1.25,0.74,4
2026-01-04T01:30:00,12B,6,1.5,1.3,8
2026-01-04T01:45:00,17C,7,1.75,1.08,6
2026-01-04T02:00:00,04L,8,2.0,0.66,10
2026-01-04T02:15:00,08A,9,2.25,1.33,11
2026-01-04T02:30:00,12B,10,2.5,1.24,8
2026-01-04T02:45:00,17C,11,2.75,1.49,12
2026-01-04T03:00:00,04L,0,3.0,0.85,3
2026-01-04T03:15:00,08A,1,3.25,1.13,6
2026-01-04T03:30:00,12B,2,3.5,1.3,8
2026-01-04T03:45:00,17C,3,3.75,0.89,8
2026-01-04T04:00:00,04L,4,4.0,1.47,12
2026-01-04T04:15:00,08A,5,4.25,1.07,4
2026-01-04T04:30:00,12B,6,4.5,0.87,8
2026-01-04T04:45:00,17C,7,4.75,0.62,5
2026-01-04T05:00:00,04L,8,5.0,1.37,15
2026-01-04T05:15:00,08A,9,5.25,1.26,11
2026-01-04T05:30:00,12B,10,5.5,1.53,6
2026-01-04T05:45:00,17C,11,5.75,1.59,14
2026-01-04T06:00:00,04L,0,6.0,0.91,9
2026-01-04T06:15:00,08A,1,6.25,1.24,11
2026-01-04T06:30:00,12B,2,6.5,1.03,9
2026-01-04T06:45:00,17C,3,6.75,1.29,12
2026-01-04T07:00:00,04L,4,7.0,1.17,15
2026-01-04T07:15:00,08A,5,7.25,0.64,5
